filmtv_id, title, year, genre, duration, country, directors, actors, avg_vote, critics_vote, public_vote, total_votes, description, notes, humor, rhythm, effort, tension, erotism
2,Bugs Bunny's Third Movie: 1001 Rabbit Tales,1982,Animation,76,United States,"David Detiege, Art Davis, Bill Perez",,7.7,8.0,7.0,22,"With two protruding front teeth, a slightly sly air and a certain penchant for carrots, Bugs Bunny is one of the most popular cartoon heroes, especially in the United States. In this anthology, in addition to the bunny, there are other heroes of Warner cartoons: Sylvester and Tweety, engaged in a merciless but useless hunt, Daffy Duck (the duck who over time imitates Walt Disney's Donald Duck more and more) and others yet.","These are many small independent stories, which can be viewed individually. The anthology also includes ""One Froggy Evening"", one of the masterpieces of designer Chuck Jones.",3,3,0,0,0
3,18 anni tra una settimana,1991,Drama,98,Italy,Luigi Perelli,"Kim Rossi Stuart, Simona Cavallari, Ennio Fantastichini, Orso Maria Guerrini, Silli Togni, Maria Pia Calzone, Luciano Curreli, Francesco Maria Dominedò",6.5,6.0,7.0,4,"Samantha, not yet eighteen, leaves the comforts of family and runs away from home. By chance she meets Paolo, a young drifter, and falls in love with him, but Paolo is part of a gang of Camorra riders fighting a rival gang. Paolo is part of the group sent to kill the leader of the rivals and Samantha decides to leave him because she is afraid of the turning point her life is taking.","Luigi Perelli, the director of the ""Piovra"", occasionally makes a few forays into cinema but is more at ease on television. The young Camorra has the face of Kim Rossi Stuart.",0,2,0,2,0
17,Ride a Wild Pony,1976,Romantic,91,United States,Don Chaffey,"Michael Craig, John Meillon, Eva Griffith, Graham Rouse, Robert Bettles, Alfred Bell, John Meillon Jr.",5.7,6.0,5.0,10,"In the Australia of the pioneers, a boy and a girl live a short distance from each other, but the social gap between them is unbridgeable. In fact, he is the son of very poor peasants, she the rich heiress of a powerful family. The fate, however, was not kind to the little girl who was nailed to a wheelchair by a serious illness. Contact is established between the two thanks to a pony foal that both of them are fascinated by.","""Ecological"" story with a happy ending, not without delicate moments and where the splendid natural scenery of the great horizons typical of the fifth continent dominates.",1,2,1,0,0
18,Diner,1982,Comedy,95,United States,Barry Levinson,"Mickey Rourke, Steve Guttenberg, Ellen Barkin, Daniel Stern, Kevin Bacon, Timothy Daly, Paul Reiser, Kelle Kipp, Colette Blonigan",7.0,8.0,6.0,18,"Five boys from Baltimore have a habit of meeting up periodically for dinner and making jokes together. One of them, Boogie, is in trouble because of his passion for betting: he owes two thousand dollars to a gangster and continues to bet and lose to find them. Others have marital or sex-related problems, and each gets some joke.",A cast of will be famous for Levinson's directorial debut. Bitter and very well written: jokes are seen as a manifestation of immaturity rather than lightheartedness; Rourke enhances his charge of dark handsome. Guttenberg is the good guy of the bunch.,2,2,0,1,2
20,A che servono questi quattrini?,1942,Comedy,85,Italy,Esodo Pratelli,"Eduardo De Filippo, Peppino De Filippo, Clelia Matania, Paolo Stoppa, Nario Bernardi, Augusto Di Giovanni, Edwige Maul, Italia Marchesini",5.9,5.33,7.0,15,"With a stratagem, the penniless and somewhat philosopher Marquis Parascandolo wants to prove that work and money are useless. To do this, he spreads the rumor, which is actually false, that one of his ""disciples"", the carpenter Vincenzino Esposito, has received a large inheritance. Of course it happens that the man is suddenly respected by everyone and really enriches himself.","Taken from the play by Armando Curcio that the De Filippo had brought to the stage two years earlier. More than cinema, it is filmed theater, but the two brothers are always grown up.",3,1,1,0,0
21,The Uranian Conspiracy,1978,Spy,117,"Italy, Germany, Israel","Gianfranco Baldanello, Menahem Golan","Fabio Testi, Janet Agren, Assaf Dayan, Siegfried Rauch, Oded Kotler, Gianni Rizzo, Herbert Fux",4.8,3.5,6.0,5,Two Israeli secret agents discover that traffickers headed by the Baron are about to deliver the radioactive material to the Arabs. But the Baron captures one of them and holds him prisoner on the cargo with the terrible goods that the Israelis are preparing to blow up.,"Action and chases for half of Europe, espionage as a cradle of heroisms and virile friendships: the ingredients are not very fresh, but the dish is cooked with the cunning of the old fox as Menahem Golan (""Over the Top"").",1,2,0,2,0
22,A ciascuno il suo,1967,Drama,93,Italy,Elio Petri,"Gian Maria Volonté, Irene Papas, Gabriele Ferzetti, Salvo Randone, Laura Nucci, Mario Scaccia, Luigi Pistilli, Leopoldo Trieste",7.6,7.68,7.0,139,"Investigations into two murders committed in a small Sicilian village lead to the conclusion that it was an honor killing. Paolo Laurana, a high school teacher, is not convinced and confides these doubts of his to the lawyer Rosello. Continuing her investigations, however, Laurana realizes that the instigator of the double murder is precisely the lawyer, with the complicity of Luisa, widow of one of the victims. Laurana dies under the blows of a killer; the lawyer Rosello and Luisa get married.","Champion of the cinema of civil commitment, Elio Petri refines his style, starting from this film, corrosive and lucid in the denunciation of the mafia culture.",0,2,3,3,1
23,Dead-Bang,1989,Crime,109,United States,John Frankenheimer,"Don Johnson, Penelope Ann Miller, William Forsythe, Bob Balaban, Tate Donovan, Tim Reid, Michael Jeter, Brad Sullivan",6.0,6.0,6.0,27,"In the throes of a double murder, Jerry Beck, of the Los Angeles police, falls into the hell of a neo-Nazi movement that in the land of freedom wants to exclude blacks, Jews and homosexuals in the name of an alleged superiority of the white race. The FBI also enters the field, but Beck will have to do everything himself, even using rather brutal ways to be able to eliminate the culprits.","When it comes to talking about mysterious plots, John Frankenheimer (""Seven Days in May"", ""Go and Kill"") is great. A good thriller, despite the presence of Don Johnson who is not exactly a monster of flexibility.",0,2,0,2,1
24,A... come assassino,1966,Thriller,80,Italy,Ray Morrison (Angelo Dorigo),"Alan Steel, Mary Arden, Sergio Ciani, Ivano Davoli, Giovanna Galletti, Aïché Nana, Charlie Charun, Gilberto Mazzi",5.2,3.0,7.0,5,"After a man's corpse is found by his niece in the family manor, seven relatives meet to attend the reading of the will. But only three of them will be the beneficiaries: more precisely those who, after a month spent in the castle, will still be alive ...",Approximation and mediocrity in go-go.,1,2,0,1,0
26,At Close Range,1986,Drama,115,United States,James Foley,"Christopher Walken, Sean Penn, Chris Penn, Mary Stuart Masterson, Millie Perkins, Eileen Ryan, Tracey Walter, David Strathairn, Kiefer Sutherland, Candy Clark",7.5,7.64,7.0,90,"Young Brad (Penn) lives with his grandmother and separated mom until dad (Walken), a criminal from rural America, reappears to join his gang. The boy thinks he has a great chance to become someone, but when his father is arrested, who does not want any witnesses against him, he becomes his most ruthless enemy.","Powerful and brutal thriller, second work by James Foley, which makes the comparison between father and son with the tones of a classic tragedy. Excellent interpreters: the young Sean Penn manages to figure well next to a teacher like Walken, Oscar 1979 for ""The Hunter"".",1,3,2,4,2
